Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Kenny Golladay,DET,5,2,40.00%,9,1,7.1%,3,1,33.33%,10,1,9.4%,All Kenny Golladay red zone receiving plays,GollKe00
Josh Hill,NOR,5,3,60.00%,7,1,7.0%,2,2,100.00%,1,1,6.7%,All Josh Hill red zone receiving plays,HillJo02
Andre Holmes,BUF,5,5,100.00%,28,3,7.7%,3,3,100.00%,9,3,8.8%,All Andre Holmes red zone receiving plays,HolmAn00
Adam Humphries,TAM,5,5,100.00%,39,1,7.4%,0,0,,0,0,.0%,All Adam Humphries red zone receiving plays,HumpAd00
DeSean Jackson,TAM,5,3,60.00%,16,2,7.4%,2,2,100.00%,8,2,6.9%,All DeSean Jackson red zone receiving plays,JackDe00
Duke Johnson,CLE,5,3,60.00%,10,1,11.6%,2,2,100.00%,4,1,8.0%,All Duke Johnson red zone receiving plays,JohnDu00
Lance Kendricks,GNB,5,1,20.00%,1,1,7.8%,3,1,33.33%,1,1,10.0%,All Lance Kendricks red zone receiving plays,KendLa00
Jerick McKinnon,MIN,5,3,60.00%,15,1,8.6%,1,1,100.00%,2,1,3.4%,All Jerick McKinnon red zone receiving plays,McKiJe00
Lamar Miller,HOU,5,4,80.00%,27,3,9.3%,3,3,100.00%,17,3,10.0%,All Lamar Miller red zone receiving plays,MillLa01
Greg Olsen,CAR,5,1,20.00%,5,0,9.1%,2,1,50.00%,5,0,7.7%,All Greg Olsen red zone receiving plays,OlseGr00
Bilal Powell,NYJ,5,4,80.00%,4,0,10.6%,4,4,100.00%,4,0,16.7%,All Bilal Powell red zone receiving plays,PoweBi00
Charles Sims,TAM,5,3,60.00%,21,1,7.4%,1,1,100.00%,6,1,3.4%,All Charles Sims red zone receiving plays,SimsCh00
Torrey Smith,PHI,5,3,60.00%,24,1,6.7%,1,0,0.00%,0,0,3.3%,All Torrey Smith red zone receiving plays,SmitTo02
Luke Willson,SEA,5,4,80.00%,20,2,7.6%,2,2,100.00%,16,2,5.0%,All Luke Willson red zone receiving plays,WillLu00
Terrance Williams,DAL,5,1,20.00%,3,0,8.9%,3,0,0.00%,0,0,11.5%,All Terrance Williams red zone receiving plays,WillTe01
Kamar Aiken,IND,4,1,25.00%,9,0,10.5%,1,0,0.00%,0,0,6.3%,All Kamar Aiken red zone receiving plays,AikeKa00
Jay Ajayi,2TM,4,4,100.00%,36,1,,0,0,,0,0,,All Jay Ajayi red zone receiving plays,AjayJa00
Dwayne Allen,NWE,4,1,25.00%,11,1,4.7%,1,0,0.00%,0,0,2.7%,All Dwayne Allen red zone receiving plays,AlleDw00
Odell Beckham,NYG,4,4,100.00%,30,2,7.7%,3,3,100.00%,22,2,11.5%,All Odell Beckham red zone receiving plays,BeckOd00
Giovani Bernard,CIN,4,3,75.00%,17,1,8.0%,1,1,100.00%,6,1,4.0%,All Giovani Bernard red zone receiving plays,BernGi00
Kenny Britt,CLE,4,2,50.00%,30,2,9.3%,1,0,0.00%,0,0,4.0%,All Kenny Britt red zone receiving plays,BritKe00
Tevin Coleman,ATL,4,4,100.00%,46,3,6.0%,1,1,100.00%,3,1,2.9%,All Tevin Coleman red zone receiving plays,ColeTe01
Benny Cunningham,CHI,4,2,50.00%,15,1,8.0%,4,2,50.00%,15,1,14.3%,All Benny Cunningham red zone receiving plays,CunnBe01
Corey Davis,TEN,4,3,75.00%,20,0,9.3%,0,0,,0,0,.0%,All Corey Davis red zone receiving plays,DaviCo03
Seth Devalve,CLE,4,1,25.00%,3,1,9.3%,3,1,33.33%,3,1,12.0%,All Seth Devalve red zone receiving plays,DevaSe00
